"candidate_id","rank","score","reasoning"
"CAND_0027691","30","0.3321","Good fit — NLP Engineer at Haptik (6.5y exp) | NLP Engineer at Haptik (27mo) | Skills: Recommendation Systems/Weaviate/Embeddings; GitHub 58/100; resp rate 68%"
"CAND_0055857","31","0.3309","Moderate fit — Sales Executive at Pied Piper (2.6y exp) | Sales Executive at Pied Piper (31mo) | Skills: no direct T1 skills; resp rate 9% | Concerns: resp rate 9%"
"CAND_0088788","32","0.3289","Moderate fit — Civil Engineer at Dunder Mifflin (2.1y exp) | Civil Engineer at Dunder Mifflin (25mo) | Skills: no direct T1 skills; resp rate 62%"
"CAND_0038450","33","0.3213","Moderate fit — Civil Engineer at Dunder Mifflin (2.9y exp) | Civil Engineer at Dunder Mifflin (34mo) | Skills: no direct T1 skills; GitHub 5/100; resp rate 47% | Concerns: inactive 229d"
"CAND_0083368","34","0.3203","Moderate fit — Mechanical Engineer at Hooli (3.2y exp) | Mechanical Engineer at Hooli (38mo) | Skills: no direct T1 skills; GitHub 17/100; resp rate 76% | Concerns: inactive 253d"
"CAND_0044052","35","0.3188","Moderate fit — Business Analyst at Initech (3.2y exp) | Business Analyst at Initech (38mo) | Skills: no direct T1 skills; resp rate 62% | Concerns: inactive 116d"
"CAND_0010865","36","0.3172","Moderate fit — Civil Engineer at Initech (2.8y exp) | Civil Engineer at Initech (33mo) | Skills: no direct T1 skills; resp rate 7% | Concerns: resp rate 7%; interview completion 32%"
"CAND_0016855","37","0.3131","Moderate fit — Mechanical Engineer at Hooli (2.0y exp) | Mechanical Engineer at Hooli (24mo) | Skills: no direct T1 skills; GitHub 42/100; resp rate 40% | Concerns: inactive 248d"
"CAND_0046288","38","0.3112","Moderate fit — Civil Engineer at Pied Piper (1.6y exp) | Civil Engineer at Pied Piper (19mo) | Skills: no direct T1 skills; resp rate 7% | Concerns: resp rate 7%"
"CAND_0036165","39","0.3099","Moderate fit — Mechanical Engineer at Hooli (2.2y exp) | Mechanical Engineer at Hooli (26mo) | Skills: no direct T1 skills; resp rate 62% | Concerns: inactive 143d"
"CAND_0091694","40","0.3064","Moderate fit — Software Engineer at Pied Piper (3.9y exp) | Software Engineer at Pied Piper (46mo) | Skills: OpenSearch (intermediate); resp rate 48% | Concerns: notice 90d"
"CAND_0065068","41","0.3048","Moderate fit — Java Developer at Pied Piper (4.2y exp) | Java Developer at Pied Piper (50mo) | Skills: no direct T1 skills; resp rate 46% | Concerns: inactive 160d"
"CAND_0059573","42","0.3007","Moderate fit — Mechanical Engineer at Initech (2.4y exp) | Mechanical Engineer at Initech (28mo) | Skills: no direct T1 skills; GitHub 12/100; resp rate 36% | Concerns: inactive 245d; interview completion 37%"
"CAND_0088983","43","0.2993","Moderate fit — Mechanical Engineer at Dunder Mifflin (2.3y exp) | Mechanical Engineer at Dunder Mifflin (27mo) | Skills: no direct T1 skills; resp rate 47% | Concerns: notice 90d"
"CAND_0090279","44","0.2937","Moderate fit — Graphic Designer at Dunder Mifflin (1.7y exp) | Graphic Designer at Dunder Mifflin (20mo) | Skills: no direct T1 skills; resp rate 49% | Concerns: inactive 102d"
"CAND_0059407","45","0.2930","Moderate fit — Civil Engineer at Dunder Mifflin (2.5y exp) | Civil Engineer at Dunder Mifflin (30mo) | Skills: no direct T1 skills; resp rate 16% | Concerns: resp rate 16%"
"CAND_0065747","46","0.2914","Moderate fit — HR Manager at Dunder Mifflin (3.5y exp) | HR Manager at Dunder Mifflin (42mo) | Skills: no direct T1 skills; GitHub 14/100; resp rate 68% | Concerns: inactive 94d"
"CAND_0077337","47","0.2899","Moderate fit — Staff Machine Learning Engineer at Paytm (7.0y exp) | Staff Machine Learning Engineer at Paytm (19mo) | Skills: Semantic Search/Pinecone/Information Retrieval; GitHub 68/100; resp rate 95%"
"CAND_0035524","48","0.2893","Moderate fit — Civil Engineer at Dunder Mifflin (1.3y exp) | Civil Engineer at Dunder Mifflin (15mo) | Skills: no direct T1 skills; resp rate 72%"
"CAND_0081040","49","0.2802","Moderate fit — Mechanical Engineer at Dunder Mifflin (2.1y exp) | Mechanical Engineer at Dunder Mifflin (25mo) | Skills: no direct T1 skills; GitHub 38/100; resp rate 21% | Concerns: notice 90d; resp rate 21%; inactive 130d"
"CAND_0009042","50","0.2748","Moderate fit — Civil Engineer at Pied Piper (1.6y exp) | Civil Engineer at Pied Piper (19mo) | Skills: no direct T1 skills; resp rate 60% | Concerns: interview completion 33%"
"CAND_0041669","51","0.2729","Moderate fit — Recommendation Systems Engineer at CRED (8.0y exp) | Recommendation Systems Engineer at CRED (37mo) | Skills: FAISS/Milvus/Semantic Search; GitHub 71/100; resp rate 77%"
"CAND_0048401","52","0.2722","Moderate fit — Java Developer at Initech (2.0y exp) | Java Developer at Initech (24mo) | Skills: no direct T1 skills; resp rate 71% | Concerns: inactive 158d"
"CAND_0042057","53","0.2705","Moderate fit — Civil Engineer at Initech (2.7y exp) | Civil Engineer at Initech (32mo) | Skills: no direct T1 skills; resp rate 36% | Concerns: inactive 253d"
"CAND_0092247","54","0.2705","Moderate fit — Mechanical Engineer at Dunder Mifflin (4.3y exp) | Mechanical Engineer at Dunder Mifflin (51mo) | Skills: no direct T1 skills; resp rate 45% | Concerns: inactive 229d"
"CAND_0040554","55","0.2692","Moderate fit — QA Engineer at CRED (1.1y exp) | QA Engineer at CRED (13mo) | Skills: no direct T1 skills; GitHub 22/100; resp rate 19% | Concerns: resp rate 19%"
"CAND_0089596","56","0.2678","Moderate fit — Mechanical Engineer at Dunder Mifflin (1.6y exp) | Mechanical Engineer at Dunder Mifflin (19mo) | Skills: no direct T1 skills; resp rate 59% | Concerns: notice 90d"
"CAND_0011831","57","0.2653","Moderate fit — Operations Manager at Hooli (2.5y exp) | Operations Manager at Hooli (30mo) | Skills: no direct T1 skills; resp rate 60% | Concerns: inactive 104d"
"CAND_0052194","58","0.2629","Moderate fit — Frontend Engineer at Razorpay (1.5y exp) | Frontend Engineer at Razorpay (18mo) | Skills: no direct T1 skills; GitHub 12/100; resp rate 63% | Concerns: inactive 102d"
"CAND_0064098","59","0.2624","Moderate fit — Software Engineer at Hooli (1.7y exp) | Software Engineer at Hooli (20mo) | Skills: no direct T1 skills; GitHub 36/100; resp rate 23% | Concerns: notice 90d; resp rate 23%; inactive 92d"
"CAND_0001072","60","0.2603","Moderate fit — Graphic Designer at Dunder Mifflin (3.0y exp) | Graphic Designer at Dunder Mifflin (36mo) | Skills: no direct T1 skills; GitHub 3/100; resp rate 78% | Concerns: inactive 166d"
"CAND_0098485","61","0.2590","Adjacent fit — HR Manager at Dunder Mifflin (2.5y exp) | HR Manager at Dunder Mifflin (30mo) | Skills: no direct T1 skills; GitHub 21/100; resp rate 12% | Concerns: resp rate 12%; inactive 116d"
"CAND_0025920","62","0.2573","Adjacent fit — Civil Engineer at Stark Industries (2.4y exp) | Civil Engineer at Stark Industries (28mo) | Skills: FAISS/Semantic Search/Vector Search; resp rate 59% | Concerns: notice 90d; interview completion 38%"
"CAND_0096405","63","0.2563","Adjacent fit — HR Manager at Dunder Mifflin (1.5y exp) | HR Manager at Dunder Mifflin (18mo) | Skills: no direct T1 skills; GitHub 48/100; resp rate 12% | Concerns: resp rate 12%"
"CAND_0010880","64","0.2555","Adjacent fit — HR Manager at Dunder Mifflin (1.7y exp) | HR Manager at Dunder Mifflin (20mo) | Skills: no direct T1 skills; GitHub 13/100; resp rate 23% | Concerns: resp rate 23%"
"CAND_0076124","65","0.2526","Adjacent fit — HR Manager at Dunder Mifflin (3.3y exp) | HR Manager at Dunder Mifflin (39mo) | Skills: no direct T1 skills; resp rate 74% | Concerns: inactive 237d"
"CAND_0094458","66","0.2520","Adjacent fit — Operations Manager at Pied Piper (3.1y exp) | Operations Manager at Pied Piper (37mo) | Skills: no direct T1 skills; GitHub 8/100; resp rate 62% | Concerns: notice 90d; inactive 95d; interview completion 32%"
"CAND_0035997","67","0.2511","Adjacent fit — Civil Engineer at Dunder Mifflin (1.4y exp) | Civil Engineer at Dunder Mifflin (16mo) | Skills: no direct T1 skills; GitHub 43/100; resp rate 50% | Concerns: inactive 110d; interview completion 38%"
"CAND_0096571","68","0.2501","Adjacent fit — Civil Engineer at Pied Piper (1.2y exp) | Civil Engineer at Pied Piper (14mo) | Skills: no direct T1 skills; resp rate 42%"
"CAND_0062324","69","0.2493","Adjacent fit — Project Manager at Dunder Mifflin (2.6y exp) | Project Manager at Dunder Mifflin (31mo) | Skills: no direct T1 skills; resp rate 55% | Concerns: notice 90d; inactive 164d"
"CAND_0052112","70","0.2404","Adjacent fit — Business Analyst at Dunder Mifflin (1.2y exp) | Business Analyst at Dunder Mifflin (14mo) | Skills: no direct T1 skills; GitHub 40/100; resp rate 70% | Concerns: inactive 201d"
"CAND_0006054","71","0.2353","Adjacent fit — Graphic Designer at Pied Piper (1.9y exp) | Graphic Designer at Pied Piper (22mo) | Skills: no direct T1 skills; resp rate 44% | Concerns: inactive 168d"
"CAND_0021830","72","0.2345","Adjacent fit — Business Analyst at Dunder Mifflin (2.2y exp) | Business Analyst at Dunder Mifflin (26mo) | Skills: no direct T1 skills; GitHub 8/100; resp rate 55% | Concerns: inactive 161d"
"CAND_0026684","73","0.2339","Adjacent fit — Mechanical Engineer at Pied Piper (1.6y exp) | Mechanical Engineer at Pied Piper (19mo) | Skills: no direct T1 skills; resp rate 72% | Concerns: inactive 152d; interview completion 32%"
"CAND_0072942","74","0.2334","Adjacent fit — Frontend Engineer at CRED (1.5y exp) | Frontend Engineer at CRED (18mo) | Skills: no direct T1 skills; resp rate 48% | Concerns: notice 90d"
"CAND_0037086","75","0.2312","Adjacent fit — Mechanical Engineer at Pied Piper (2.4y exp) | Mechanical Engineer at Pied Piper (28mo) | Skills: no direct T1 skills; GitHub 24/100; resp rate 50% | Concerns: notice 90d; inactive 131d"
"CAND_0033861","76","0.2311","Adjacent fit — Senior NLP Engineer at Mad Street Den (8.0y exp) | Senior NLP Engineer at Mad Street Den (30mo) | Skills: Weaviate/Elasticsearch/Pinecone; GitHub 33/100; resp rate 16% | Concerns: resp rate 16%; inactive 126d"
"CAND_0028892","77","0.2300","Adjacent fit — Graphic Designer at Pied Piper (3.0y exp) | Graphic Designer at Pied Piper (36mo) | Skills: no direct T1 skills; resp rate 49% | Concerns: inactive 95d"
"CAND_0006567","78","0.2299","Adjacent fit — Senior AI Engineer at Meta (7.9y exp) | Senior AI Engineer at Meta (26mo) | Skills: Python/Ranking Systems/Recommendation Systems; GitHub 35/100; resp rate 79%"
"CAND_0092439","79","0.2299","Adjacent fit — Software Engineer at Initech (2.7y exp) | Software Engineer at Initech (32mo) | Skills: Information Retrieval; resp rate 32% | Concerns: notice 90d"
"CAND_0095251","80","0.2288","Adjacent fit — Mechanical Engineer at Pied Piper (2.6y exp) | Mechanical Engineer at Pied Piper (31mo) | Skills: no direct T1 skills; resp rate 73% | Concerns: inactive 212d"
"CAND_0021838","81","0.2265","Adjacent fit — Civil Engineer at Initech (2.1y exp) | Civil Engineer at Initech (25mo) | Skills: no direct T1 skills; resp rate 71% | Concerns: inactive 258d"
"CAND_0016480","82","0.2252","Adjacent fit — Business Analyst at Dunder Mifflin (1.7y exp) | Business Analyst at Dunder Mifflin (20mo) | Skills: no direct T1 skills; GitHub 17/100; resp rate 31% | Concerns: inactive 217d; interview completion 34%"
"CAND_0013058","83","0.2248","Adjacent fit — Civil Engineer at Pied Piper (3.4y exp) | Civil Engineer at Pied Piper (40mo) | Skills: no direct T1 skills; GitHub 10/100; resp rate 15% | Concerns: resp rate 15%; inactive 159d; interview completion 34%"
"CAND_0038819","84","0.2226","Adjacent fit — Graphic Designer at Pied Piper (4.4y exp) | Graphic Designer at Pied Piper (52mo) | Skills: no direct T1 skills; resp rate 32% | Concerns: notice 90d; inactive 231d"
"CAND_0031611","85","0.2172","Adjacent fit — Civil Engineer at Dunder Mifflin (2.2y exp) | Civil Engineer at Dunder Mifflin (26mo) | Skills: no direct T1 skills; GitHub 40/100; resp rate 48% | Concerns: notice 90d; inactive 246d; interview completion 37%"
"CAND_0099714","86","0.2165","Adjacent fit — Graphic Designer at Pied Piper (4.0y exp) | Graphic Designer at Pied Piper (48mo) | Skills: no direct T1 skills; resp rate 42% | Concerns: inactive 229d"
"CAND_0095504","87","0.2141","Adjacent fit — Project Manager at Pied Piper (1.4y exp) | Project Manager at Pied Piper (16mo) | Skills: no direct T1 skills; resp rate 77% | Concerns: inactive 109d; interview completion 31%"
"CAND_0058656","88","0.2140","Adjacent fit — Civil Engineer at Hooli (2.7y exp) | Civil Engineer at Hooli (32mo) | Skills: no direct T1 skills; resp rate 41% | Concerns: inactive 125d; interview completion 38%"
"CAND_0060936","89","0.2133","Adjacent fit — Mechanical Engineer at Pied Piper (4.6y exp) | Mechanical Engineer at Pied Piper (55mo) | Skills: no direct T1 skills; resp rate 54% | Concerns: notice 90d; inactive 151d"
"CAND_0070240","90","0.2120","Adjacent fit — Full Stack Developer at Initech (3.4y exp) | Full Stack Developer at Initech (40mo) | Skills: Pinecone; GitHub 23/100; resp rate 25% | Concerns: notice 90d; inactive 154d"
"CAND_0063682","91","0.2118","Adjacent fit — Marketing Manager at Dunder Mifflin (2.9y exp) | Marketing Manager at Dunder Mifflin (34mo) | Skills: no direct T1 skills; resp rate 30% | Concerns: inactive 175d"
"CAND_0012864","92","0.2112","Adjacent fit — Civil Engineer at Dunder Mifflin (2.0y exp) | Civil Engineer at Dunder Mifflin (24mo) | Skills: no direct T1 skills; resp rate 45% | Concerns: inactive 161d"
"CAND_0014434","93","0.2091","Adjacent fit — Software Engineer at Pied Piper (2.5y exp) | Software Engineer at Pied Piper (30mo) | Skills: no direct T1 skills; resp rate 45% | Concerns: notice 90d"
"CAND_0011687","94","0.2078","Adjacent fit — Senior NLP Engineer at Niramai (7.8y exp) | Senior NLP Engineer at Niramai (52mo) | Skills: OpenSearch/FAISS/Embeddings; GitHub 76/100; resp rate 89%"
"CAND_0019042","95","0.2066","Adjacent fit — HR Manager at Pied Piper (1.3y exp) | HR Manager at Pied Piper (15mo) | Skills: no direct T1 skills; resp rate 41% | Concerns: notice 90d; inactive 242d"
"CAND_0030730","96","0.2027","Adjacent fit — Software Engineer at Pied Piper (1.8y exp) | Software Engineer at Pied Piper (21mo) | Skills: no direct T1 skills; GitHub 27/100; resp rate 20% | Concerns: notice 90d; resp rate 20%; inactive 136d"
"CAND_0068210","97","0.2018","Adjacent fit — Mechanical Engineer at Dunder Mifflin (1.9y exp) | Mechanical Engineer at Dunder Mifflin (22mo) | Skills: no direct T1 skills; resp rate 52% | Concerns: notice 90d; inactive 211d"
"CAND_0015152","98","0.2008","Adjacent fit — Graphic Designer at Dunder Mifflin (3.8y exp) | Graphic Designer at Dunder Mifflin (45mo) | Skills: no direct T1 skills; resp rate 76% | Concerns: notice 90d"
"CAND_0066441","99","0.2003","Adjacent fit — Mechanical Engineer at Hooli (1.8y exp) | Mechanical Engineer at Hooli (21mo) | Skills: no direct T1 skills; resp rate 46% | Concerns: inactive 121d"
"CAND_0024198","100","0.2000","Adjacent fit — Civil Engineer at Pied Piper (1.9y exp) | Civil Engineer at Pied Piper (22mo) | Skills: no direct T1 skills; resp rate 22% | Concerns: notice 90d; resp rate 22%; interview completion 35%"
